lat,lon,Pc
0.0,-180.0,0.00918444078049996
0.0,-178.11518324607331,0.00918444078049996
0.0,-176.23036649214657,0.00918444078049996
0.0,-174.3455497382199,0.00918444078049996
0.0,-172.4607329842932,0.00918444078049996
0.0,-170.57591623036652,0.00918444078049996
0.0,-168.6910994764398,0.00918444078049996
0.0,-166.8062827225131,0.00918444078049996
0.0,-164.9214659685864,0.00918444078049996
0.0,-163.0366492146597,0.00918444078049996
0.0,-161.15183246073298,0.00918444078049996
0.0,-159.2670157068063,0.00918444078049996
0.0,-157.38219895287958,0.00918444078049996
0.0,-155.4973821989529,0.00918444078049996
0.0,-153.61256544502618,0.00918444078049996
0.0,-151.72774869109946,0.00918444078049996
0.0,-149.84293193717278,0.00918444078049996
0.0,-147.95811518324606,0.00918444078049996
0.0,-146.07329842931935,0.00918444078049996
0.0,-144.18848167539267,0.00918444078049996
0.0,-142.30366492146595,0.00918444078049996
0.0,-140.41884816753927,0.00918444078049996
0.0,-138.53403141361258,0.00918444078049996
0.0,-136.64921465968587,0.00918444078049996
0.0,-134.76439790575915,0.00918444078049996
0.0,-132.87958115183244,0.00918444078049996
0.0,-130.99476439790575,0.00918444078049996
0.0,-129.10994764397904,0.00918444078049996
0.0,-127.22513089005236,0.00918444078049996
0.0,-125.34031413612566,0.00918444078049996
0.0,-123.45549738219896,0.00918444078049996
0.0,-121.57068062827226,0.00918444078049996
0.0,-119.68586387434557,0.00918444078049996
0.0,-117.80104712041884,0.00918444078049996
0.0,-115.91623036649213,0.00918444078049996
0.0,-114.03141361256546,0.00918444078049996
0.0,-112.14659685863874,0.00918444078049996
0.0,-110.26178010471205,0.00918444078049996
0.0,-108.37696335078535,0.00918444078049996
0.0,-106.49214659685865,0.00918444078049996
0.0,-104.60732984293193,0.00918444078049996
0.0,-102.72251308900525,0.00918444078049996
0.0,-100.83769633507853,0.00918444078049996
0.0,-98.95287958115182,0.00918444078049996
0.0,-97.06806282722513,0.00918444078049996
0.0,-95.18324607329845,0.00918444078049996
0.0,-93.29842931937173,0.00918444078049996
0.0,-91.41361256544502,0.00918444078049996
0.0,-89.52879581151834,0.00918444078049996
0.0,-87.64397905759164,0.00918444078049996
0.0,-85.75916230366492,0.00918444078049996
0.0,-83.87434554973822,0.00918444078049996
0.0,-81.98952879581152,0.00918444078049996
0.0,-80.10471204188482,0.00918444078049996
0.0,-78.21989528795812,0.00918444078049996
0.0,-76.33507853403141,0.00918444078049996
0.0,-74.45026178010471,0.00918444078049996
0.0,-72.56544502617801,0.00918444078049996
0.0,-70.68062827225131,0.00918444078049996
0.0,-68.79581151832461,0.00918444078049996
0.0,-66.91099476439791,0.00918444078049996
0.0,-65.0261780104712,0.00918444078049996
0.0,-63.14136125654451,0.00918444078049996
0.0,-61.25654450261779,0.00918444078049996
0.0,-59.3717277486911,0.00918444078049996
0.0,-57.48691099476441,0.00918444078049996
0.0,-55.60209424083769,0.00918444078049996
0.0,-53.71727748691101,0.00918444078049996
0.0,-51.83246073298429,0.00918444078049996
0.0,-49.947643979057595,0.00918444078049996
0.0,-48.0628272251309,0.00918444078049996
0.0,-46.17801047120418,0.00918444078049996
0.0,-44.29319371727749,0.00918444078049996
0.0,-42.408376963350776,0.00918444078049996
